subset_index,task_name,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,T1mix/COBRE/T1/0,23,23,0,0,44,3.9456398218118416e-12,0.8952780365943909,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,T1mix/COBRE/T1/0,23,23,0,1,50,0.9014083743095398,0.9014083743095398,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,T1mix/COBRE/T1/0,23,23,0,2,2,0.8969117999076843,0.900193452835083,6,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,T1mix/COBRE/T1/0,23,23,0,3,41,0.9041317701339722,0.9041317701339722,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,T1mix/COBRE/T1/0,23,23,0,4,76,0.9144434928894044,0.9144434928894044,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,T1mix/COBRE/T1/0,23,23,0,5,69,0.9029231667518616,0.9029231667518616,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,T1mix/COBRE/T1/0,23,23,0,6,45,0.924109697341919,0.924109697341919,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,T1mix/COBRE/T1/0,23,23,0,7,57,0.8916375637054443,0.9092950224876404,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,T1mix/COBRE/T1/0,23,23,0,8,11,0.9283347129821776,0.9283347129821776,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,T1mix/COBRE/T1/0,23,23,0,9,63,0.9149169325828552,0.9149169325828552,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,T1mix/COBRE/T1/0,23,24,1,0,63,3.059134976585165e-12,0.903210997581482,11,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,T1mix/COBRE/T1/0,23,24,1,1,57,0.8934748768806458,0.9002975821495056,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,T1mix/COBRE/T1/0,23,24,1,2,41,0.8665696382522583,0.9036029577255248,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,T1mix/COBRE/T1/0,23,24,1,3,50,0.906910240650177,0.906910240650177,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
