subset_index,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,23,23,0,0,25,6.022466379762559e-12,0.8497002720832825,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
0,23,23,0,1,36,0.7933798432350159,0.8651840090751648,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,1
0,23,23,0,2,20,0.8374305367469788,0.883721113204956,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,2
0,23,23,0,3,26,0.8786985874176025,0.8997296690940857,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,3
0,23,23,0,4,66,0.8628673553466797,0.8981456160545349,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,4
0,23,23,0,5,8,0.8448522090911865,0.879533052444458,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,5
0,23,23,0,6,39,0.8250519633293152,0.8596690893173218,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,6
0,23,23,0,7,28,0.6749804019927979,0.8502609729766846,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,7
0,23,23,0,8,30,0.8783953189849854,0.9112589359283448,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,8
0,23,23,0,9,11,0.8874978423118591,0.904613196849823,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,9
0,23,24,1,0,11,6.770994355476123e-12,0.850676417350769,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
0,23,24,1,1,28,0.5507200360298157,0.8470019102096558,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,1
0,23,24,1,2,26,0.7961332201957703,0.8769660592079163,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,2
0,23,24,1,3,36,0.8711700439453125,0.9011038541793824,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,3
0,23,24,1,4,25,0.8527684211730957,0.896647036075592,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,4
0,23,24,1,5,20,0.8521982431411743,0.8839784264564514,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,5
0,23,24,1,6,30,0.8815117478370667,0.9066480994224548,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,6
0,23,24,1,7,39,0.8305192589759827,0.8645033836364746,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,7
0,23,24,1,8,8,0.8528591990470886,0.8824102282524109,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,8
0,23,24,1,9,66,0.8658261895179749,0.9041315913200378,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,9
0,23,25,2,0,25,6.022466379762559e-12,0.8297638297080994,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
0,23,25,2,1,36,0.7933798432350159,0.8612991571426392,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,1
0,23,25,2,2,28,0.664349377155304,0.8539178371429443,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,2
0,23,25,2,3,20,0.8394492268562317,0.8801945447921753,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,3
0,23,25,2,4,26,0.8781574368476868,0.8994954228401184,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,4
0,23,25,2,5,30,0.878929853439331,0.9068830013275146,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,5
0,23,25,2,6,8,0.8533152341842651,0.8825655579566956,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,6
0,23,25,2,7,39,0.8332866430282593,0.8642573356628418,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,7
0,23,25,2,8,66,0.8600847125053406,0.903373122215271,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,8
0,23,25,2,9,11,0.8874978423118591,0.9051861763000488,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,9
0,23,26,3,0,20,5.589246947212967e-12,0.8055978417396545,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
