subset_index,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,23,23,0,0,101,3.9791430567204245e-11,0.903825581073761,14,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,23,0,1,163,7.307658034250153e-09,0.9028046131134032,19,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,23,0,2,54,0.1586594581604004,0.870545506477356,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,23,0,3,205,0.0684447586536407,0.925165355205536,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,23,0,4,146,2.8399305476711767e-11,0.8894320130348206,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,23,0,5,53,5.547048584353398e-11,0.8658807873725891,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,23,0,6,175,0.1278699934482574,0.8897290825843811,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,23,0,7,183,0.3475037515163421,0.9207216501235962,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,23,0,8,158,0.0339178256690502,0.9037432074546814,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,23,0,9,9,0.0341937504708766,0.9004834890365601,20,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,24,1,0,9,6.692883053327492e-11,0.9053220748901368,20,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,24,1,1,183,0.7056592702865601,0.918813705444336,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,24,1,2,205,0.0006451286608353,0.907059371471405,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
